,Depot,Cliente_1,Cliente_2,Cliente_3,Cliente_4,Cliente_5,Cliente_6,Cliente_7,Cliente_8,Cliente_9,Cliente_10,Cliente_11,Cliente_12,Cliente_13,Cliente_14,Cliente_15,Cliente_16,Cliente_17,Cliente_18,Cliente_19,Cliente_20,Cliente_21,Cliente_22,Cliente_23,Cliente_24,Cliente_25,Cliente_26,Cliente_27,Cliente_28,Cliente_29,Cliente_30,Cliente_31,Cliente_32,Cliente_33,Cliente_34,Cliente_35,Cliente_36,Cliente_37,Cliente_38,Cliente_39,Cliente_40,Cliente_41,Cliente_42,Cliente_43,Cliente_44,Cliente_45,Cliente_46,Cliente_47,Cliente_48,Cliente_49,Cliente_50,Cliente_51,Cliente_52,Cliente_53,Cliente_54,Cliente_55,Cliente_56,Cliente_57,Cliente_58,Cliente_59,Cliente_60,Cliente_61,Cliente_62,Cliente_63,Cliente_64,Cliente_65,Cliente_66,Cliente_67,Cliente_68,Cliente_69,Cliente_70,Cliente_71,Cliente_72,Cliente_73,Cliente_74,Cliente_75,Cliente_76,Cliente_77,Cliente_78,Cliente_79,Cliente_80,Cliente_81,Cliente_82,Cliente_83,Cliente_84,Cliente_85,Cliente_86,Cliente_87,Cliente_88,Cliente_89,Cliente_90,Cliente_91,Cliente_92,Cliente_93,Cliente_94,Cliente_95,Cliente_96,Cliente_97,Cliente_98,Cliente_99,Cliente_100,Cliente_101,Cliente_102,Cliente_103,Cliente_104,Cliente_105,Cliente_106,Cliente_107,Cliente_108,Cliente_109,Cliente_110,Cliente_111,Cliente_112,Cliente_113,Cliente_114,Cliente_115,Cliente_116,Cliente_117,Cliente_118,Cliente_119,Cliente_120,Cliente_121,Cliente_122,Cliente_123,Cliente_124,Cliente_125,Cliente_126,Cliente_127,Cliente_128,Cliente_129,Cliente_130,Cliente_131,Cliente_132,Cliente_133,Cliente_134,Cliente_135,Cliente_136,Cliente_137,Cliente_138,Cliente_139,Cliente_140,Cliente_141,Cliente_142,Cliente_143,Cliente_144,Cliente_145,Cliente_146,Cliente_147,Cliente_148,Cliente_149
Cliente_134,19,15,8,19,5,20,12,8,22,32,20,19,16,17,12,19,12,22,20,20,11,8,14,42,13,20,23,10,7,12,15,19,15,18,12,17,21,24,16,22,7,16,20,19,21,7,24,23,19,13,12,11,14,22,8,12,18,2,21,19,7,11,13,31,23,16,16,7,10,15,22,12,4,5,8,20,42,17,17,38,24,23,19,6,12,15,24,28,13,4,16,22,10,4,15,14,14,35,17,18,12,18,12,16,16,9,18,30,26,6,23,8,15,25,20,15,10,16,18,22,25,24,40,12,4,36,13,17,19,12,30,16,15,13,0,23,11,12,5,15,19,7,14,14,13,6,13,7,8,16
Cliente_135,10,19,27,13,22,11,19,19,37,47,32,13,15,33,19,17,18,36,9,32,20,26,29,57,30,13,40,28,26,21,18,10,19,14,31,33,11,40,16,40,26,15,11,32,11,26,42,38,32,19,19,30,17,37,25,30,11,22,12,13,24,26,19,16,42,30,12,24,25,34,37,19,23,21,26,13,40,12,33,53,42,33,34,19,31,20,42,44,32,23,18,40,17,20,18,17,20,50,14,14,19,11,19,18,29,28,30,45,42,20,42,27,18,40,12,33,23,28,12,12,40,42,25,19,21,51,19,10,32,20,46,15,23,21,21,0,17,19,22,19,14,25,16,20,26,24,32,24,27,20
Cliente_136,14,14,18,14,12,16,7,6,27,38,22,14,10,24,7,15,15,27,15,22,12,16,19,47,20,15,30,14,16,12,14,14,14,13,21,24,16,31,12,31,12,10,15,22,16,16,33,28,22,7,7,19,5,28,16,15,14,11,16,14,15,15,12,27,32,21,12,15,16,24,27,7,12,6,16,15,36,12,24,43,33,23,24,9,22,17,33,35,21,13,11,31,8,8,10,6,16,41,12,14,7,14,7,7,19,17,20,35,32,6,32,17,14,31,15,21,13,18,13,17,31,33,36,7,9,41,15,12,22,17,37,11,19,17,10,18,0,7,12,14,14,15,10,16,16,14,23,15,13,16
Cliente_137,14,12,17,19,13,16,0,9,28,38,25,15,8,24,0,20,10,27,15,24,8,17,20,48,21,17,30,13,15,7,12,17,18,14,20,24,16,31,13,30,11,7,15,24,19,15,32,28,24,5,0,19,6,28,16,15,14,11,21,15,16,17,7,28,32,22,12,16,16,24,28,0,12,6,17,17,37,12,24,44,32,28,25,11,21,15,32,35,21,13,11,31,10,10,6,8,11,41,12,14,0,14,0,8,21,17,23,36,33,9,32,17,12,31,14,19,15,21,13,17,31,32,37,0,9,42,10,17,24,12,37,9,14,12,11,18,8,0,13,12,14,16,10,11,18,14,22,16,13,13
Cliente_138,19,18,8,19,0,21,17,11,15,26,17,20,19,12,17,19,16,15,20,17,16,4,10,35,8,20,18,9,8,16,19,19,12,18,11,15,21,19,16,21,5,19,20,17,21,8,22,16,17,18,17,11,16,16,4,11,19,7,21,20,2,6,18,32,22,12,16,2,6,14,15,17,6,10,4,20,42,18,14,31,22,16,13,8,12,19,22,23,13,6,17,19,11,8,20,15,18,29,18,18,17,19,17,16,14,9,15,23,20,9,22,7,19,19,20,19,8,13,18,22,19,22,41,17,8,29,16,17,17,16,25,19,19,17,7,23,15,17,0,18,19,3,14,18,11,6,12,2,7,20
Cliente_139,11,0,22,18,17,12,9,15,34,44,29,11,9,28,9,18,7,33,12,29,10,21,26,54,25,14,36,20,20,11,8,14,17,10,25,30,13,37,14,35,18,8,10,29,16,20,37,34,29,9,9,24,11,34,21,21,10,17,19,11,20,23,9,24,36,27,9,19,22,28,34,9,16,15,21,14,30,7,30,50,37,30,31,16,26,7,37,41,26,17,13,35,14,17,9,12,7,47,8,13,9,10,9,12,26,22,27,42,39,16,36,21,8,37,9,23,20,25,8,14,37,37,33,9,17,48,6,14,29,6,43,9,11,4,17,15,13,9,17,0,9,20,10,6,23,19,26,19,19,7
Cliente_140,11,10,24,17,19,11,12,16,34,44,30,12,9,30,12,19,12,34,10,29,11,23,26,54,27,14,37,24,24,12,12,12,17,11,28,31,11,37,15,38,23,9,8,29,14,24,40,35,29,12,12,27,11,34,23,26,11,19,17,12,21,23,11,23,39,28,9,21,22,31,34,12,20,17,23,14,31,5,30,50,40,30,31,16,29,11,40,41,29,20,13,38,14,18,11,12,12,47,8,13,12,11,12,12,26,25,28,42,39,17,39,24,12,37,8,28,20,26,5,12,37,40,32,12,18,48,12,14,29,12,44,9,16,12,19,14,13,12,19,10,0,22,10,14,23,22,30,21,24,11
Cliente_141,19,18,5,19,6,21,15,11,18,27,18,20,19,14,15,19,15,18,20,18,15,4,11,39,11,20,19,7,5,16,18,19,13,18,8,14,21,21,16,18,4,19,20,18,21,5,20,20,18,16,15,8,16,19,3,9,19,5,21,20,5,7,17,32,20,13,16,5,6,12,19,15,3,9,4,20,42,18,13,35,20,20,16,8,9,18,20,24,11,4,17,19,11,7,17,15,17,32,18,18,15,19,15,16,14,6,16,27,23,10,20,5,18,21,20,18,8,14,18,22,21,20,41,15,8,33,15,18,18,15,26,19,18,16,4,24,15,15,6,18,19,0,14,17,12,3,10,5,6,19
Cliente_142,8,10,18,12,12,10,8,9,28,38,23,8,8,24,8,13,11,27,9,23,12,16,19,48,21,10,30,19,17,13,11,11,12,6,22,24,10,31,7,31,17,8,9,22,13,17,33,28,23,8,8,21,4,28,16,20,8,12,14,8,15,17,12,21,33,21,4,15,16,25,28,8,13,11,16,10,30,6,24,44,33,24,25,10,22,11,33,35,22,13,5,31,8,11,10,6,12,41,6,6,8,8,8,5,19,18,21,36,32,10,33,18,11,31,9,24,14,19,7,11,31,33,30,8,12,41,12,10,23,11,37,8,15,13,12,12,7,8,12,10,8,15,0,13,17,15,23,15,18,13
Cliente_143,16,6,21,23,17,18,11,19,32,42,30,16,10,28,11,24,3,31,17,30,6,20,24,52,25,19,34,19,20,9,5,19,22,15,25,28,18,35,19,34,17,10,14,30,21,20,36,32,30,11,11,24,15,32,20,20,16,15,24,16,20,21,9,30,36,25,14,20,20,28,32,11,16,13,20,19,33,11,28,48,36,32,29,16,25,7,36,39,26,17,17,35,19,14,9,17,2,45,12,17,11,16,11,17,26,22,28,40,37,16,36,21,5,35,14,23,20,26,12,19,35,36,39,11,13,46,4,19,30,4,41,10,9,2,15,20,17,11,17,6,13,20,14,0,25,18,26,20,18,6
Cliente_144,23,26,16,23,10,25,22,15,16,26,13,24,23,12,22,23,23,15,24,13,20,11,4,36,9,24,18,18,16,21,25,23,17,22,16,12,25,19,20,20,14,23,24,12,25,16,24,17,13,23,22,18,20,16,13,20,23,15,25,24,10,8,22,36,24,10,20,10,7,19,16,22,15,15,11,24,46,22,12,32,24,14,13,13,16,26,24,23,18,15,21,19,15,13,24,19,24,29,22,22,22,23,22,20,9,18,11,24,21,13,24,14,25,19,24,26,8,9,22,26,19,24,45,22,13,30,23,21,12,23,25,23,27,25,14,27,18,22,10,26,23,12,18,24,0,14,13,10,16,26
Cliente_145,23,19,8,22,9,24,16,15,22,30,21,23,21,17,16,23,17,21,24,21,16,7,14,42,14,24,22,8,6,16,20,23,16,22,12,17,24,24,20,21,4,19,24,20,25,6,23,23,21,17,16,10,18,22,6,10,22,8,25,23,8,10,18,35,23,16,20,8,9,15,22,16,6,12,7,24,45,21,16,38,23,23,19,11,12,20,23,28,12,8,20,22,15,11,18,18,18,35,21,22,16,22,16,19,17,8,19,30,26,13,23,8,20,24,24,19,11,17,22,25,24,23,44,16,11,36,17,21,21,16,30,21,20,17,8,27,16,16,9,19,23,6,18,19,15,0,13,8,6,21
Cliente_146,28,26,8,28,14,30,24,20,13,24,21,28,27,7,24,28,24,12,29,21,24,12,12,36,10,28,16,16,12,24,27,28,22,27,5,8,30,17,25,15,12,27,29,18,30,12,17,14,18,25,24,8,25,13,12,18,28,13,30,28,14,13,26,40,16,14,25,13,11,8,13,24,12,18,12,28,50,26,8,32,17,16,9,16,5,27,17,21,7,13,26,15,20,16,26,23,25,30,26,27,24,28,24,24,20,11,22,24,19,18,16,7,27,17,29,26,16,20,27,30,17,17,50,24,16,30,24,26,18,23,23,28,27,24,13,32,23,24,14,26,28,11,23,26,13,12,0,13,14,28
Cliente_147,21,20,12,20,6,22,19,13,14,24,19,21,20,10,19,21,18,14,22,19,17,3,9,34,7,22,17,13,12,18,21,21,14,20,13,12,22,18,18,19,9,20,22,16,23,12,24,15,16,20,19,15,18,14,8,15,20,9,23,21,1,6,19,33,24,11,18,2,6,16,14,19,10,12,3,22,43,19,12,30,24,15,12,9,13,21,24,22,15,10,18,18,13,10,21,16,19,28,19,20,19,20,19,18,16,13,17,22,19,11,24,11,21,18,22,20,9,15,20,24,18,24,42,19,9,28,18,19,16,17,24,20,21,18,9,25,16,19,6,20,21,7,16,20,9,10,11,0,11,22
Cliente_148,22,17,8,21,8,23,14,14,21,30,21,22,18,17,14,22,14,21,23,21,13,7,14,42,14,22,22,3,3,14,17,22,16,20,10,17,23,24,19,21,2,17,22,20,24,3,21,23,20,14,14,7,15,22,6,7,21,8,24,22,8,10,15,34,20,16,18,8,9,11,22,14,5,9,7,22,44,20,16,38,21,22,19,10,12,17,21,27,9,8,19,22,14,11,16,17,16,35,20,21,14,21,14,17,17,5,19,30,26,13,20,8,17,24,22,15,11,17,20,24,24,21,43,14,10,36,15,20,20,14,29,18,17,15,8,26,13,14,8,17,22,6,16,16,15,5,13,8,0,18
Cliente_149,14,8,23,21,18,15,9,16,33,43,31,14,9,29,9,22,7,32,15,31,7,22,25,53,26,17,36,20,22,8,5,16,21,13,27,30,15,36,18,36,18,8,13,31,18,22,38,34,31,9,9,26,13,33,22,22,13,16,22,14,21,22,7,27,38,27,12,21,21,30,33,9,19,15,22,17,33,10,29,49,38,34,30,18,27,11,38,40,27,18,16,36,18,15,8,15,5,46,11,16,9,13,9,15,28,23,30,41,38,16,38,23,5,36,13,26,22,27,11,16,36,38,36,9,15,47,8,17,31,8,42,9,12,7,16,18,15,9,18,8,12,21,13,6,26,20,28,21,19,0
