,Depot,Cliente_1,Cliente_2,Cliente_3,Cliente_4,Cliente_5,Cliente_6,Cliente_7,Cliente_8,Cliente_9,Cliente_10,Cliente_11,Cliente_12,Cliente_13,Cliente_14,Cliente_15,Cliente_16,Cliente_17,Cliente_18,Cliente_19,Cliente_20,Cliente_21,Cliente_22,Cliente_23,Cliente_24,Cliente_25,Cliente_26,Cliente_27,Cliente_28,Cliente_29,Cliente_30,Cliente_31,Cliente_32,Cliente_33,Cliente_34,Cliente_35,Cliente_36,Cliente_37,Cliente_38,Cliente_39,Cliente_40,Cliente_41,Cliente_42,Cliente_43,Cliente_44,Cliente_45,Cliente_46,Cliente_47,Cliente_48,Cliente_49,Cliente_50,Cliente_51,Cliente_52,Cliente_53,Cliente_54,Cliente_55,Cliente_56,Cliente_57,Cliente_58,Cliente_59,Cliente_60,Cliente_61,Cliente_62,Cliente_63,Cliente_64,Cliente_65,Cliente_66,Cliente_67,Cliente_68,Cliente_69,Cliente_70,Cliente_71,Cliente_72,Cliente_73,Cliente_74,Cliente_75,Cliente_76,Cliente_77,Cliente_78,Cliente_79,Cliente_80,Cliente_81,Cliente_82,Cliente_83,Cliente_84,Cliente_85,Cliente_86,Cliente_87,Cliente_88,Cliente_89,Cliente_90,Cliente_91,Cliente_92,Cliente_93,Cliente_94,Cliente_95,Cliente_96,Cliente_97,Cliente_98,Cliente_99,Cliente_100,Cliente_101,Cliente_102,Cliente_103,Cliente_104,Cliente_105,Cliente_106,Cliente_107,Cliente_108,Cliente_109,Cliente_110,Cliente_111,Cliente_112,Cliente_113,Cliente_114,Cliente_115,Cliente_116,Cliente_117,Cliente_118,Cliente_119,Cliente_120,Cliente_121,Cliente_122,Cliente_123,Cliente_124,Cliente_125,Cliente_126,Cliente_127,Cliente_128,Cliente_129,Cliente_130,Cliente_131,Cliente_132,Cliente_133,Cliente_134,Cliente_135,Cliente_136,Cliente_137,Cliente_138,Cliente_139,Cliente_140,Cliente_141,Cliente_142,Cliente_143,Cliente_144,Cliente_145,Cliente_146,Cliente_147,Cliente_148,Cliente_149
Cliente_114,6,11,25,13,19,8,13,16,35,45,30,9,10,31,13,20,12,34,5,30,12,24,27,55,28,10,37,25,24,13,12,8,18,10,29,31,8,38,15,38,23,10,4,30,11,24,40,35,30,12,13,28,12,35,23,26,6,19,14,9,22,24,11,19,40,28,8,22,23,32,35,13,20,18,24,10,32,4,31,51,40,31,32,17,29,12,40,42,29,20,14,38,15,18,12,13,13,48,8,12,13,6,13,13,26,25,28,43,40,17,40,25,12,38,0,28,21,26,4,8,38,40,28,13,19,48,13,10,30,12,44,10,16,13,19,10,14,13,19,11,6,22,11,14,24,22,30,22,24,12
Cliente_115,31,23,22,30,18,32,21,23,33,27,33,31,25,29,21,31,20,32,32,33,21,21,27,40,26,31,30,17,19,21,23,31,27,30,26,31,32,30,28,31,18,25,30,32,33,19,37,32,34,22,21,23,22,32,21,16,30,17,33,31,20,24,23,43,26,29,28,20,23,27,33,21,17,20,21,31,38,27,30,36,37,34,32,19,26,23,37,31,24,17,28,29,23,20,23,24,22,34,28,30,21,30,21,24,29,20,31,25,32,22,27,22,23,32,30,0,23,29,28,33,33,37,52,21,19,34,21,29,32,20,26,25,23,21,17,35,24,21,18,23,29,20,26,22,26,19,27,20,16,25
Cliente_116,19,20,13,18,9,20,17,11,16,23,12,19,18,15,17,19,19,18,20,12,17,10,7,33,12,19,19,15,13,17,21,18,12,18,17,14,20,19,16,22,11,18,20,11,20,13,26,16,11,17,17,16,16,18,9,16,18,11,21,19,9,5,19,31,26,10,16,8,6,20,15,17,12,11,10,19,41,17,14,29,26,13,15,8,17,22,26,23,19,12,16,20,11,8,19,14,20,26,17,18,17,18,17,15,8,14,10,21,20,8,26,13,21,19,19,23,0,8,18,21,18,26,40,17,10,27,20,17,11,20,23,18,24,21,11,23,14,17,9,20,19,9,13,20,6,11,16,9,13,22
Cliente_117,23,24,17,22,13,24,21,15,14,21,8,23,22,16,21,23,23,14,24,9,21,14,10,31,14,23,17,19,17,22,25,23,16,22,20,14,24,16,20,19,15,22,24,9,25,17,25,14,9,21,21,20,20,14,14,20,22,15,25,23,14,12,23,35,23,9,20,13,14,20,13,21,16,15,14,23,45,21,13,27,25,10,14,12,20,26,25,20,22,16,20,18,15,12,23,18,24,24,21,22,21,22,21,19,2,19,8,19,18,12,23,17,25,16,23,27,8,0,22,25,16,25,44,21,14,24,24,21,7,24,20,22,28,25,15,27,18,21,13,24,23,13,18,24,9,15,19,13,17,26
Cliente_118,9,9,23,15,17,10,11,14,33,43,28,10,8,29,11,18,10,32,8,28,10,22,25,53,26,12,35,23,22,11,10,10,16,9,27,29,9,36,13,36,21,8,5,28,12,22,38,34,28,10,11,26,10,33,21,24,9,17,16,10,20,22,9,21,38,26,8,20,21,30,33,11,19,16,22,12,30,2,29,49,38,29,30,15,27,10,38,40,27,18,12,36,13,16,10,11,11,46,6,11,11,9,11,11,25,23,26,41,38,15,38,23,10,36,5,26,19,24,0,10,36,38,30,11,17,47,11,12,28,11,42,8,14,11,17,12,12,11,17,9,4,21,9,12,22,20,28,20,22,10
Cliente_119,7,16,26,10,20,4,16,17,35,45,31,8,12,31,16,15,16,34,6,30,16,24,27,55,28,9,38,26,24,18,16,5,17,10,29,32,2,38,14,39,24,12,6,30,4,24,40,36,30,16,16,28,14,35,24,28,6,20,10,8,22,24,16,19,40,29,9,22,23,32,35,16,21,20,24,9,37,9,31,51,40,31,32,17,30,17,40,42,30,21,16,39,15,19,15,15,17,48,11,11,16,7,16,15,27,26,29,43,40,18,40,25,16,38,9,31,21,27,9,0,38,40,28,16,19,49,16,8,30,17,44,12,20,18,20,10,15,16,20,16,11,23,14,18,24,23,30,22,25,17
Cliente_120,36,37,20,35,20,37,33,28,6,12,18,36,35,13,33,36,33,6,36,13,31,21,16,27,15,36,5,27,21,32,35,35,28,34,16,10,37,5,32,9,24,35,36,12,37,21,18,4,10,33,33,18,33,9,23,29,35,24,38,36,20,20,33,48,13,14,32,20,18,15,5,33,23,26,21,36,45,34,11,23,18,11,12,24,16,37,18,8,16,24,33,6,28,23,35,31,34,20,34,34,33,35,33,32,16,21,12,11,4,25,13,20,35,3,36,25,19,16,34,38,0,18,57,33,24,20,34,34,15,34,11,35,38,35,24,40,31,33,20,37,36,22,30,34,19,23,16,20,26,37
Cliente_121,37,35,18,37,24,39,33,29,18,24,26,38,37,14,33,37,33,17,38,26,33,22,21,41,21,38,16,23,18,34,36,37,31,36,12,13,39,17,34,13,22,37,38,23,39,18,0,17,23,34,33,15,34,18,21,27,37,22,39,38,23,24,35,50,13,19,34,23,23,10,18,33,21,27,22,38,50,36,12,37,0,21,15,26,14,36,0,21,12,22,35,16,29,25,36,33,35,34,36,36,33,37,33,34,25,17,26,25,19,28,13,18,36,19,38,31,26,24,36,40,19,0,59,33,25,35,33,35,23,32,23,37,36,34,22,41,33,33,24,35,37,20,32,35,24,21,16,23,21,37
Cliente_122,29,38,47,33,41,30,38,38,56,67,52,32,34,53,38,37,38,56,28,52,38,45,48,76,50,32,59,48,46,40,38,29,38,33,50,53,30,60,36,60,46,34,30,51,30,46,62,57,52,38,38,50,36,56,45,49,30,41,33,32,44,46,38,23,62,50,31,43,45,54,56,38,42,41,45,32,59,32,53,72,62,53,53,38,51,39,62,64,51,42,37,60,37,40,37,36,39,70,33,34,38,30,38,37,48,47,50,64,61,39,62,47,38,60,32,53,42,48,31,31,60,62,0,38,40,70,38,30,52,39,66,34,42,40,41,29,36,38,41,38,33,44,36,40,46,44,52,43,46,39
Cliente_123,14,12,17,19,13,16,0,9,28,38,25,15,8,24,0,20,10,27,15,24,8,17,20,48,21,17,30,13,15,7,12,17,18,14,20,24,16,31,13,30,11,7,15,24,19,15,32,28,24,5,0,19,6,28,16,15,14,11,21,15,16,17,7,28,32,22,12,16,16,24,28,0,12,6,17,17,37,12,24,44,32,28,25,11,21,15,32,35,21,13,11,31,10,10,6,8,11,41,12,14,0,14,0,8,21,17,23,36,33,9,32,17,12,31,14,19,15,21,13,17,31,32,37,0,9,42,10,17,24,12,37,9,14,12,11,18,8,0,13,12,14,16,10,11,18,14,22,16,13,13
