,Numero_de_Productos_Ordenados,ID,Lista_de_Volumenes_de_Productos,Volumen_Total
13789,1,[48218],[0.655312],0.655312
13790,1,[24035],[0.00056],0.00056
13791,1,[1206],[1.751747],1.751747
13792,1,[35972],[1.56427],1.56427
13793,2,"[42384, 39720]","[0.0263, 0.000322]",0.026622
13794,1,[46914],[0.006222],0.006222
13795,1,[17427],[0.0321],0.0321
13796,2,"[47340, 19622]","[0.0321, 0.0009568]",0.0330568
13797,1,[34101],[0.02122],0.02122
13798,1,[37749],[0.134097],0.134097
13799,1,[14627],[0.163],0.163
13800,1,[2470],[0.05936],0.05936
13801,1,[16671],[0.006904],0.006904
13802,1,[20313],[0.7637],0.7637
13803,1,[37582],[0.02145],0.02145
13804,1,[35302],[0.000605],0.000605
13805,1,[39504],[0.003365],0.003365
13806,1,[34369],[0.011231],0.011231
13807,1,[47581],[0.0001],0.0001
13808,1,[23035],[0.006433],0.006433
13809,1,[35038],[1.29],1.29
13810,1,[29003],[0.001],0.001
13811,1,[37582],[0.02145],0.02145
13812,1,[35213],[0.001],0.001
13813,1,[37190],[0.029526],0.029526
13814,1,[27940],[0.10494707],0.10494707
13815,1,[20362],[0.001],0.001
13816,2,"[39824, 24338]","[0.028782, 0.723]",0.751782
13817,2,"[34694, 34116]","[0.007449, 0.001125]",0.008574
13818,1,[40034],[0.081744],0.081744
13819,1,[46817],[0.04576],0.04576
13820,1,[37118],[0.00094812],0.00094812
13821,1,[24111],[0.017281],0.017281
13822,1,[18367],[0.00642],0.00642
13823,1,[48236],[0.384],0.384
13824,1,[18288],[0.00094812],0.00094812
13825,1,[9242],[0.000611],0.000611
13826,1,[47018],[0.001125],0.001125
13827,1,[35693],[0.384],0.384
13828,1,[16962],[0.071824],0.071824
13829,1,[17120],[0.0001],0.0001
13830,1,[34248],[1.276e-05],1.276e-05
13831,1,[20278],[0.00214414],0.00214414
13832,1,[24333],[1.46035],1.46035
13833,1,[47340],[0.0321],0.0321
13834,1,[23669],[0.061],0.061
13835,1,[122],[0.02127219],0.02127219
13836,1,[41642],[0.0001],0.0001
13837,1,[20306],[0.028782],0.028782
13838,1,[939],[0.001],0.001
13839,1,[39546],[0.81],0.81
13840,1,[5097],[0.107047],0.107047
13841,1,[18701],[0.050449],0.050449
13842,1,[6228],[0.001],0.001
13843,1,[46952],[0.0009568],0.0009568
13844,2,"[4907, 29749]","[0.075924, 0.310659]",0.386583
13845,1,[47181],[0.0035158],0.0035158
13846,1,[14279],[0.30705],0.30705
13847,1,[17093],[0.0009958],0.0009958
13848,1,[45697],[0.05625],0.05625
13849,1,[4156],[0.0009323],0.0009323
13850,1,[17434],[0.046322],0.046322
13851,1,[35881],[0.006222],0.006222
13852,1,[2924],[0.0035606],0.0035606
13853,1,[34264],[0.004576],0.004576
13854,1,[17704],[0.0009568],0.0009568
13855,1,[39507],[0.18921641],0.18921641
13856,1,[34747],[0.000605],0.000605
13857,1,[50096],[0.013735],0.013735
13858,1,[199],[0.093329],0.093329
13859,1,[33225],[0.10157854],0.10157854
13860,1,[2925],[0.000132],0.000132
13861,1,[35400],[0.071824],0.071824
13862,1,[47581],[0.0001],0.0001
13863,1,[40848],[0.0015],0.0015
13864,1,[31338],[0.00039187],0.00039187
